,eventID,year,longitude,latitude,magnitude
25,10000026,1905,98.483,49.709,8.3
27,10000028,1905,96.61,49.369,8.3
41,10000042,1906,97.0,27.0,7.0
69,10000070,1908,100.656,29.278,6.69
82,10000083,1908,96.773,26.948,6.95
182,10000183,1912,100.0,80.0,5.6
190,10000191,1912,96.7366,21.0361,7.55
245,10000246,1913,102.227,24.245,6.68
250,10000251,1914,99.0,25.0,6.9
263,10000264,1914,92.09,42.747,7.28
284,10000285,1915,101.0,44.0,6.5
305,10000306,1915,91.64,27.7,6.55
349,10000350,1917,104.188,28.379,6.91
378,10000379,1918,90.853,24.599,7.19
492,10000493,1920,105.606,36.888,8.3
493,10000494,1920,105.484,37.241,6.81
561,10000562,1922,98.253,20.049,6.71
577,10000578,1922,90.847,50.039,6.56
585,10000586,1922,89.7514,39.1363,6.36
586,10000587,1922,95.613,12.23,6.45
615,10000616,1923,100.75,31.295,7.0
633,10000634,1923,98.711,22.845,7.24
659,10000660,1923,90.721,24.937,6.83
660,10000661,1923,96.0,48.0,6.2
737,10000738,1924,90.0,29.5,5.6
754,10000755,1924,89.651,30.882,6.5
793,10000794,1925,100.422,25.713,6.85
866,10000867,1925,101.452,20.62,6.66
908,10000909,1926,97.0,26.0,6.2
915,10000916,1926,92.0,15.0,5.6
918,10000919,1926,89.5,35.0,6.0
949,10000950,1926,101.5,29.5,5.6
1022,10001023,1927,103.0,26.0,5.6
1023,10001024,1927,95.0,24.5,6.5
1024,10001025,1927,97.5,38.5,6.0
1042,10001043,1927,88.5,52.0,5.6
1049,10001050,1927,102.489,37.645,7.7
1058,10001059,1927,101.0,29.5,5.6
1145,10001146,1928,102.132,37.667,6.23
1171,10001172,1928,91.5,13.5,6.2
1190,10001191,1928,102.5,31.5,5.6
1290,10001291,1929,103.0,24.0,5.6
1291,10001292,1929,94.5,29.0,5.6
1354,10001355,1929,95.838,19.317,6.63
1375,10001376,1929,98.053,25.924,6.27
1433,10001434,1930,98.452,25.485,6.27
1435,10001436,1930,96.43,17.86,7.47
1454,10001455,1930,102.5,43.5,5.6
1461,10001462,1930,90.177,25.929,7.14
1464,10001465,1930,98.258,37.969,6.49
1477,10001478,1930,100.0,30.0,5.6
1486,10001487,1930,98.609,25.806,6.88
1488,10001489,1930,94.0,25.0,6.2
1514,10001515,1930,98.356,25.854,6.25
1515,10001516,1930,96.298,18.233,7.43
1549,10001550,1931,96.79,25.851,7.63
1554,10001555,1931,96.0,25.5,5.6
1615,10001616,1931,98.5,27.5,5.6
1663,10001664,1931,109.0,55.5,6.0
1669,10001670,1931,89.915,46.817,7.9
1679,10001680,1931,89.859,47.264,7.13
1688,10001689,1931,96.0,18.5,5.6
1726,10001727,1931,98.0,26.0,5.6
1744,10001745,1931,89.399,46.938,6.37
1751,10001752,1931,92.5,15.5,5.6
1754,10001755,1931,102.0,34.5,5.6
1763,10001764,1932,98.5,25.5,5.6
1796,10001797,1932,92.5,25.5,5.6
1812,10001813,1932,90.0,25.0,5.6
1817,10001818,1932,92.0,24.5,5.6
1866,10001867,1932,102.5,47.5,5.6
1907,10001908,1932,93.0,49.0,5.6
1933,10001934,1932,95.6386,25.8368,7.0
1981,10001982,1932,92.0,26.5,5.6
2007,10002008,1932,96.616,39.496,7.92
2024,10002025,1933,97.0,40.0,5.6
2037,10002038,1933,90.429,45.971,6.39
2056,10002057,1933,90.5,26.0,5.6
2069,10002070,1933,104.0,48.0,6.0
2099,10002100,1933,98.5,38.0,5.6
2120,10002121,1933,100.25,27.25,6.2
2137,10002138,1933,97.0,19.0,5.6
2186,10002187,1933,98.403,25.655,6.37
2195,10002196,1933,103.676,32.012,7.32
2260,10002261,1933,98.0,25.0,5.6
2289,10002290,1934,102.5,23.75,6.0
2293,10002294,1934,98.25,25.5,6.0
2294,10002295,1934,108.6181,41.1381,6.36
2313,10002314,1934,101.383,19.772,6.23
2395,10002396,1934,95.0,24.5,6.5
2418,10002419,1934,92.5,33.0,6.0
2521,10002522,1934,89.162,31.25,7.16
2532,10002533,1935,88.344,30.768,6.49
2548,10002549,1935,94.997,50.024,5.73
2580,10002581,1935,89.5,24.25,6.2
2595,10002596,1935,95.659,13.203,6.09
2610,10002611,1935,94.376,24.175,5.77
2619,10002620,1935,101.101,19.688,6.35
2625,10002626,1935,89.459,29.062,5.7
2663,10002664,1935,92.924,43.88,5.75
2674,10002675,1935,100.895,32.977,5.67
2675,10002676,1935,100.929,33.166,6.33
2736,10002737,1935,90.737,35.347,5.67
2764,10002765,1935,91.841,30.919,5.58
2767,10002768,1935,103.177,21.185,6.76
2784,10002785,1935,93.885,38.307,5.72
2799,10002800,1935,103.534,28.888,6.27
